theta1_x/theta_E,theta1_y/theta_E,theta2_x/theta_E,theta2_y/theta_E
7.855004690888337526e-01,9.209048510075820149e-01,-5.361497129633845393e-01,-6.285710715195832465e-01
5.282452607124934474e-01,1.077679821330693954e+00,-3.667257330282745476e-01,-7.481617949855685623e-01
8.162175196662888599e-01,8.746563305341115147e-01,-5.702890652122619697e-01,-6.111201108819903638e-01
3.661212302912733030e-01,1.146114930188678827e+00,-2.529117938253542253e-01,-7.917213178089457237e-01
6.804576780290372273e-01,9.923163175309464012e-01,-4.700220658066676660e-01,-6.854365533070778671e-01
8.287802135133695014e-01,8.715823973526196644e-01,-5.729426773198577072e-01,-6.025321841687699687e-01
3.820045212876153062e-01,1.143446284950179637e+00,-2.628356587092538499e-01,-7.867405770238279361e-01
9.668696102405452963e-01,6.972062619532791716e-01,-6.804468105913025200e-01,-4.906677924775866839e-01
5.990620760200696671e-01,1.024343372604890057e+00,-4.254234774383706119e-01,-7.274366665966708334e-01
8.905131153633557561e-01,8.091081584741202093e-01,-6.151355962736743122e-01,-5.589038734255940000e-01
6.249830127055375772e-01,1.008133435774555497e+00,-4.442154167314921187e-01,-7.165449383254528515e-01
8.601375187491494545e-01,8.458704349269203782e-01,-5.910244016519308197e-01,-5.812210917211962924e-01
7.504514444206342727e-01,9.300116095066147670e-01,-5.254898037228805663e-01,-6.512235025637505004e-01
3.564217192697923253e-01,1.168911807711778827e+00,-2.386660011540641946e-01,-7.827230827007092273e-01
9.563970431923697335e-01,7.062840107886771968e-01,-6.766007186651292749e-01,-4.996588735638632928e-01
8.989451674320825258e-01,7.862693621628810137e-01,-6.302540487900575306e-01,-5.512565914985820825e-01
8.050479584001122291e-01,8.718992176251464388e-01,-5.716409702852781605e-01,-6.191100909624319693e-01
3.236433080026256959e-01,1.177460802853209643e+00,-2.170414573691192561e-01,-7.896279710631326498e-01
9.566593994923108246e-01,7.266945522371598409e-01,-6.628360091228187034e-01,-5.035013685244664750e-01
4.609563224064540110e-01,1.127778764165178860e+00,-3.105409476117329537e-01,-7.597715208501500950e-01
8.961980026607845318e-01,7.887244700142128639e-01,-6.287974088954199070e-01,-5.533909935135943314e-01
5.135085011535167610e-01,1.072503168352193947e+00,-3.631719924343881911e-01,-7.585134650501449416e-01
8.770843121680110821e-01,8.154358892322771668e-01,-6.115441492692141878e-01,-5.685599893258764803e-01
